id;regiao;estado;sigla;vitoria_;usa_twitter_;sent_twitter_;usa_instagram_;sent_instagram_;anos_;foi_diretor_;foi_coordenador_;foi_fg_;publicacoes_twitter_;seguidores_twitter_;seguindo_twitter_;publicacoes_instagram_;seguidores_instagram_;seguindo_instagram_
74;Sudeste;Minas Gerais;IF;S;S;0;S;0;24,45;S;N;N;1;1;12;3;276;254
75;Sudeste;Minas Gerais;IF;S;N;;N;;7,71;N;N;N;;;;;;
76;Sudeste;Minas Gerais;IF;N;S;0,258691223;S;0,252156177;11,64;S;N;N;65;9;199;62;49;104
77;Sudeste;Minas Gerais;IF;N;N;;N;;14,14;N;N;N;;;;;;
78;Sudeste;Minas Gerais;IF;N;N;;S;0;10,73;S;N;N;;;;0;4;1
79;Sudeste;Minas Gerais;IF;N;N;;N;;10,64;N;S;S;;;;;;
80;Sudeste;Minas Gerais;IF;S;N;;S;0,3124;37,24;N;N;N;;;;15;616;169
81;Sudeste;Minas Gerais;IF;S;S;0,229334622;S;0,242220386;23,81;S;N;N;204;15;2;37;638;742
82;Sudeste;Minas Gerais;IF;N;N;;N;;11,01;N;N;N;;;;;;
83;Sudeste;Minas Gerais;IF;S;S;0;S;0,112261905;13,88;S;N;S;3;6;221;38;1480;2459
84;Sudeste;Minas Gerais;IF;N;N;;N;;27,10;S;N;N;;;;;;
85;Sudeste;Minas Gerais;IF;N;N;;S;0,244444444;14,71;N;N;S;;;;75;306;388
86;Sudeste;Minas Gerais;IF;S;N;;S;0,131859634;18,34;S;N;N;;;;48;1347;3961
87;Sudeste;Minas Gerais;IF;N;N;;S;0;15,76;S;N;N;;;;0;12;1
88;Sudeste;Minas Gerais;IF;N;S;0;N;;10,95;S;S;N;0;12;2;;;
89;Sudeste;Rio de Janeiro;IF;S;N;;N;;40,46;S;N;N;;;;;;
90;Sudeste;Rio de Janeiro;IF;N;N;;N;;13,39;S;N;S;;;;;;
91;Sudeste;Rio de Janeiro;IF;N;N;;N;;28,32;S;N;N;;;;;;
92;Sudeste;Rio de Janeiro;IF;S;N;;S;0,220993266;13,39;S;N;S;;;;1987;5327;2683
93;Sudeste;Rio de Janeiro;IF;N;N;;S;0;27,01;S;N;N;;;;0;71;21
94;Sudeste;Rio de Janeiro;IF;S;N;;N;;15,73;S;N;S;;;;;;
